"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",705.655869062619,705.818,705.560400666568,25199.8,0.95,684.035,725.8,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1026.15838665227,1026.82,1030.31857375084,19599,0.95,975.117,1073.85,NA,NA,NA,NA,NA,NA,NA
"muDiff",320.502517589648,320.814,320.22269389752,23796.3,0.95,267.567,372.358,0,100,-10,10,0,0,100
"sigma[1]",81.1320020319594,80.5284,79.5153369986308,12398.6,0.95,61.1962,102.379,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",200.900742645147,199.789,198.128798290415,11369.9,0.95,155.089,248.535,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",119.768740613188,118.8829,117.613896690237,17747.3,0.95,75.994,165.7111,0,100,-10,10,0,0,100
"nu",3.3547881152377,3.16238,2.87077379221257,8170.1,0.95,1.76841,5.32495,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.508577683353853,0.500014054713012,0.485537394701398,8844.1,0.95,0.283647169301408,0.746519772952778,NA,NA,NA,NA,NA,NA,NA
"effSz",2.11937176413825,2.10198859008699,2.00732008704362,11723.3,0.95,1.49512232737604,2.76503012654005,0,100,-0.1,0.1,0,0,100
