"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta0[38]",-0.107734522487965,-0.107733,-0.103011867736026,20062.9,0.95,-0.473861,0.284261,NA,NA,NA,NA,NA,NA,NA
"zbeta0[39]",0.154483474510556,0.154558,0.15790357862768,20001,0.95,-0.241919,0.560743,NA,NA,NA,NA,NA,NA,NA
"zbeta0[40]",-2.72320758962052,-2.72516,-2.72006508167856,20001,0.95,-3.10801,-2.34844,NA,NA,NA,NA,NA,NA,NA
"zbeta0[41]",0.671496137369632,0.670895,0.668211165416992,20001,0.95,0.26686,1.07465,NA,NA,NA,NA,NA,NA,NA
"zbeta0[42]",-0.530720826705265,-0.531215,-0.531684222280114,19598.7,0.95,-0.918866,-0.132757,NA,NA,NA,NA,NA,NA,NA
"zbeta0[43]",-0.282749116682028,-0.282946,-0.293846657609135,20001,0.95,-0.675016,0.0985541,NA,NA,NA,NA,NA,NA,NA
"zbeta0[44]",-0.634716124009094,-0.634693,-0.642687761836157,20001,0.95,-1.02246,-0.247196,NA,NA,NA,NA,NA,NA,NA
"zbeta0[45]",-0.5520748620054,-0.552416,-0.573401774724666,20001,0.95,-0.928264,-0.158201,NA,NA,NA,NA,NA,NA,NA
"zbeta0[46]",0.210732454811584,0.211471,0.215453826513064,20001,0.95,-0.166213,0.601821,NA,NA,NA,NA,NA,NA,NA
"zbeta0[47]",0.044213125760122,0.0459644,0.0514584987756553,20001,0.95,-0.385586,0.466426,NA,NA,NA,NA,NA,NA,NA
"zbeta0[48]",0.767895100750962,0.767801,0.771665535566661,20001,0.95,0.37383,1.16127,NA,NA,NA,NA,NA,NA,NA
"zbeta0[49]",0.333830913379806,0.332273,0.321111163129109,20001,0.95,-0.0569857,0.722416,NA,NA,NA,NA,NA,NA,NA
"zbeta0[50]",-0.864937708237088,-0.86581,-0.881586065054873,19552.1,0.95,-1.25237,-0.458061,NA,NA,NA,NA,NA,NA,NA
"zbeta0[51]",0.112444922986466,0.112429,0.109854226438615,19549.5,0.95,-0.298265,0.530001,NA,NA,NA,NA,NA,NA,NA
"zbeta0[52]",0.414409497112184,0.414969,0.4132095763913,20001,0.95,0.0118993,0.822077,NA,NA,NA,NA,NA,NA,NA
"zbeta1[1]",0.177882158348497,0.187003,0.201967209148798,12553.2,0.95,-0.0184526,0.362965,NA,NA,NA,NA,NA,NA,NA
"zbeta1[2]",0.22237785119472,0.216071,0.207477426895423,13306.5,0.95,0.044146,0.419954,NA,NA,NA,NA,NA,NA,NA
"zbeta1[3]",0.156478760580476,0.170945,0.196756868058755,6841.7,0.95,-0.0603357,0.32337,NA,NA,NA,NA,NA,NA,NA
"zbeta1[4]",0.168367831971051,0.180306,0.197393040860351,8036.7,0.95,-0.0370622,0.338639,NA,NA,NA,NA,NA,NA,NA
"zbeta1[5]",0.182359235513374,0.188929,0.201316214605103,12474,0.95,-0.0150432,0.348211,NA,NA,NA,NA,NA,NA,NA
"zbeta1[6]",0.198618766569182,0.20088,0.208337027939417,14951.8,0.95,0.0134953,0.379333,NA,NA,NA,NA,NA,NA,NA
"zbeta1[7]",0.220177371648157,0.215354,0.213912831643628,12499.2,0.95,0.0440494,0.419393,NA,NA,NA,NA,NA,NA,NA
"zbeta1[8]",0.21819586920741,0.213652,0.21374190132002,14856.6,0.95,0.0441509,0.423228,NA,NA,NA,NA,NA,NA,NA
"zbeta1[9]",0.0956923641087056,0.128433,0.189816535768191,4001.2,0.95,-0.198476,0.296428,NA,NA,NA,NA,NA,NA,NA
"zbeta1[10]",0.220287477384011,0.215089,0.207833568693041,13574.9,0.95,0.0446578,0.413054,NA,NA,NA,NA,NA,NA,NA
"zbeta1[11]",0.181737850632118,0.188891,0.204348657154732,12541.2,0.95,-0.00948584,0.362576,NA,NA,NA,NA,NA,NA,NA
"zbeta1[12]",0.305848347091945,0.273941,0.217418385606672,4207.5,0.95,0.105785,0.59015,NA,NA,NA,NA,NA,NA,NA
