"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",489214.79150417,489340,489439.276949396,19736.3,0.95,458316,521021,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1028044.10957781,1028230,1030078.52359674,16470.1,0.95,935029,1118760,NA,NA,NA,NA,NA,NA,NA
"muDiff",538829.318073638,538861,538142.051113364,17419.5,0.95,440998,633979,0,100,-10000,10000,0,0,100
"sigma[1]",142918.489354213,142869,142880.68993821,11708.2,0.95,114499,171180,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",455385.014719706,454524,450225.980468091,13603.3,0.95,383806,531339,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",312466.525365493,310926,307610.892959278,18388.4,0.95,241693,386049,0,100,-10000,10000,0,0,100
"nu",30.229965101298,21.5918,10.5818593214133,7156.5,0.95,3.12404,84.2793,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.34569229963718,1.33428884879472,1.30092547408654,8042.8,0.95,0.711068722517232,1.98648419883693,NA,NA,NA,NA,NA,NA,NA
"effSz",1.6059291467858,1.59813001023503,1.58780497615861,13752.4,0.95,1.22600981729366,1.99933646702927,0,100,-0.1,0.1,0,0,100
