"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",107.841191244617,107.818876127048,107.74720652588,20000,0.95,101.640122647952,114.35913077626,100,99.15,99,101,0.375,1.41,98.215
"sigma",25.9825387000896,25.8367349301379,25.652096963593,11557.3,0.95,21.6031921863328,30.7173905041772,15,100,14,16,0,0,100
"effSz",0.304312093613301,0.304281717272904,0.312607552035075,20000,0.95,0.0605663091223214,0.560765110236166,0,99.15,-0.1,0.1,0.065,5.465,94.47
